id,project_a,project_b,weight_a,weight_b,stars_a,forks_a,open_issues_a,open_pulls_a,stars_b,forks_b,open_issues_b,open_pulls_b
2,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/nomicfoundation/hardhat,0.1016685195,0.8983314805,731.0,75.0,18.0,9.0,7407.0,1449.0,30.0,26.0
3,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/consensys/teku,0.66944575473,0.33055424527,731.0,75.0,18.0,9.0,693.0,301.0,30.0,17.0
4,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/ethereum/solidity,0.44902172113,0.55097827887,731.0,75.0,18.0,9.0,23631.0,5874.0,30.0,30.0
5,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/ethereum/remix-project,0.49839639443,0.50160360557,731.0,75.0,18.0,9.0,2533.0,1023.0,30.0,30.0
6,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/ethereum/go-ethereum,0.27250272366,0.72749727634,731.0,75.0,18.0,9.0,48004.0,20351.0,30.0,30.0
7,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/chainsafe/lodestar,0.29091816311,0.70908183689,731.0,75.0,18.0,9.0,1224.0,311.0,30.0,30.0
9,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/openzeppelin/openzeppelin-contracts,0.36277160654,0.63722839346,731.0,75.0,18.0,9.0,25146.0,11857.0,30.0,30.0
10,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/eth-infinitism/account-abstraction,0.34421922095,0.65578077905,731.0,75.0,18.0,9.0,1584.0,671.0,12.0,6.0
11,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/crate-crypto/go-ipa,0.7171862555,0.2828137445,731.0,75.0,18.0,9.0,33.0,14.0,10.0,3.0
12,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/libp2p/go-libp2p,0.2370975136,0.7629024864,731.0,75.0,18.0,9.0,6148.0,1094.0,30.0,30.0
14,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/alloy-rs/core,0.544486083,0.455513917,731.0,75.0,18.0,9.0,814.0,165.0,30.0,1.0
16,https://github.com/prysmaticlabs/prysm,https://github.com/ethers-io/ethers.js,0.50142507311,0.49857492689,3499.0,1045.0,30.0,30.0,8049.0,1891.0,30.0,30.0
17,https://github.com/prysmaticlabs/prysm,https://github.com/nomicfoundation/hardhat,0.68306836544,0.31693163456,3499.0,1045.0,30.0,30.0,7407.0,1449.0,30.0,26.0
19,https://github.com/prysmaticlabs/prysm,https://github.com/prettier-solidity/prettier-plugin-solidity,0.94121853588,0.05878146412,3499.0,1045.0,30.0,30.0,731.0,75.0,18.0,9.0
20,https://github.com/prysmaticlabs/prysm,https://github.com/ethereum/solidity,0.9999562421,4.37579e-05,3499.0,1045.0,30.0,30.0,23631.0,5874.0,30.0,30.0
21,https://github.com/prysmaticlabs/prysm,https://github.com/ethereum/remix-project,0.9999562421,4.37579e-05,3499.0,1045.0,30.0,30.0,2533.0,1023.0,30.0,30.0
22,https://github.com/prysmaticlabs/prysm,https://github.com/ethereum/go-ethereum,0.7649580757,0.2350419243,3499.0,1045.0,30.0,30.0,48004.0,20351.0,30.0,30.0
24,https://github.com/prysmaticlabs/prysm,https://github.com/bluealloy/revm,0.9991800254,0.0008199746,3499.0,1045.0,30.0,30.0,1700.0,589.0,30.0,14.0
25,https://github.com/prysmaticlabs/prysm,https://github.com/openzeppelin/openzeppelin-contracts,0.92951415195,0.07048584805,3499.0,1045.0,30.0,30.0,25146.0,11857.0,30.0,30.0
28,https://github.com/sigp/lighthouse,https://github.com/nomicfoundation/hardhat,0.65388466552,0.34611533448,3009.0,781.0,30.0,30.0,7407.0,1449.0,30.0,26.0
29,https://github.com/sigp/lighthouse,https://github.com/consensys/teku,0.94084263926,0.05915736074,3009.0,781.0,30.0,30.0,693.0,301.0,30.0,17.0
35,https://github.com/sigp/lighthouse,https://github.com/bluealloy/revm,0.7781466545,0.2218533455,3009.0,781.0,30.0,30.0,1700.0,589.0,30.0,14.0
36,https://github.com/sigp/lighthouse,https://github.com/openzeppelin/openzeppelin-contracts,0.66091121186,0.33908878814,3009.0,781.0,30.0,30.0,25146.0,11857.0,30.0,30.0
37,https://github.com/sigp/lighthouse,https://github.com/protofire/solhint,0.93131616667,0.06868383333,3009.0,781.0,30.0,30.0,1053.0,169.0,28.0,5.0
38,https://github.com/sigp/lighthouse,https://github.com/ipfs/js-ipfs,0.70437322525,0.29562677475,3009.0,781.0,30.0,30.0,7445.0,1248.0,0.0,0.0
39,https://github.com/sigp/lighthouse,https://github.com/eth-infinitism/account-abstraction,0.57870404113,0.42129595887,3009.0,781.0,30.0,30.0,1584.0,671.0,12.0,6.0
40,https://github.com/sigp/lighthouse,https://github.com/safe-global/safe-smart-account,0.5804717868,0.4195282132,3009.0,781.0,30.0,30.0,1906.0,951.0,17.0,4.0
41,https://github.com/sigp/lighthouse,https://github.com/crate-crypto/go-ipa,0.8944563407,0.1055436593,3009.0,781.0,30.0,30.0,33.0,14.0,10.0,3.0
42,https://github.com/sigp/lighthouse,https://github.com/libp2p/go-libp2p,0.3832259257,0.6167740743,3009.0,781.0,30.0,30.0,6148.0,1094.0,30.0,30.0
43,https://github.com/sigp/lighthouse,https://github.com/paradigmxyz/reth,0.56547080695,0.43452919305,3009.0,781.0,30.0,30.0,4207.0,1306.0,30.0,30.0
47,https://github.com/sigp/lighthouse,https://github.com/erigontech/erigon,0.5,0.5,3009.0,781.0,30.0,30.0,3199.0,1166.0,30.0,30.0
48,https://github.com/sigp/lighthouse,https://github.com/grandinetech/grandine,0.5252782983,0.4747217017,3009.0,781.0,30.0,30.0,181.0,32.0,30.0,14.0
50,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/prysmaticlabs/prysm,0.29435869392,0.70564130608,1483.0,727.0,30.0,20.0,3499.0,1045.0,30.0,30.0
51,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/ethers-io/ethers.js,0.33171687205,0.66828312795,1483.0,727.0,30.0,20.0,8049.0,1891.0,30.0,30.0
54,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/vyperlang/vyper,0.58751317499,0.41248682501,1483.0,727.0,30.0,20.0,4934.0,812.0,30.0,30.0
55,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/consensys/teku,0.89823233521,0.10176766479,1483.0,727.0,30.0,20.0,693.0,301.0,30.0,17.0
56,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/prettier-solidity/prettier-plugin-solidity,0.69208471138,0.30791528862,1483.0,727.0,30.0,20.0,731.0,75.0,18.0,9.0
58,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/ethereum/remix-project,0.9999589272,4.10728e-05,1483.0,727.0,30.0,20.0,2533.0,1023.0,30.0,30.0
61,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/bluealloy/revm,0.00943396226,0.99056603774,1483.0,727.0,30.0,20.0,1700.0,589.0,30.0,14.0
62,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/jedisct1/go-minisign,0.00188679245,0.99811320755,1483.0,727.0,30.0,20.0,113.0,13.0,1.0,1.0
63,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/level/levelup,0.01098901099,0.98901098901,1483.0,727.0,30.0,20.0,4085.0,267.0,0.0,0.0
65,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/prettier/prettier,0.00010790979,0.99989209021,1483.0,727.0,30.0,20.0,49713.0,4417.0,30.0,30.0
66,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/sheetjs/js-crc32,0.02631578947,0.97368421053,1483.0,727.0,30.0,20.0,346.0,37.0,2.0,1.0
67,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/pion/webrtc,0.0027700831,0.9972299169,1483.0,727.0,30.0,20.0,14077.0,1668.0,30.0,10.0
